ANNO;MESE;CCAUS_SDOCU;CTIPO_DRIGD;NPROT_DDOCU;DREGI_DDOCU;NDOCU;NDOCU_SSUFF;DDOCU;YCALE_DRIVA;CRIVA;NPROT_DRIVA;NPROT_PBISX;CARTI;TARTI;CUNMI_DMAGA;QMOMA; APREZ ;PSCON_ORICA_1;PSCON_ORICA_2;PSCON_ORICA_3;PSCON_ORICA_4;PSCON_ORICA_5;PSCON_ORICA_6;APREZ_SNETT; AVALO ;PSCON_ORICA_T1;PSCON_ORICA_T2;PSCON_ORICA_T3;PSCON_ORICA_T4;PSCON_ORICA_T5;PSCON_ORICA_T6;CMPAG;TMPAG;CPORT;TPORT;NRIGA_DDOCU_B;TRASO_DSOCI;CSOCI;CTIPO_DLOTT;CLOTT;NCOCG;TRASO;TINDI;RINDI;DEC_QUANTITA;DEC_PREZZO;CODICE_VETTORE;DESCR_VETTORE;ORD_CLI;CTIPO_DCDCX;NCOCG;TRASO;CNAZI;CREGI;AGENTE
2023;06;BCIV;ADAC;571;21/06/2023 00:00;;;21/06/2023 00:00;2023;V01;296;0;0;COD. DB7DAB3  FORNITURA 3 PZ A TITOLO GRATUITO ;0;1;-345,00 ? ;0;0;0;0;0;0;-345;-345,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;FRA;PORTO FRANCO;21;Microingranaggi Srl;MIIN;0;0;386;TNT GLOBAL EXPRESS S.R.L.;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;014;TNT GLOBAL EXPRESS S.R.L.;Nessun ordine collegato;0;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;05;BCIV;BCIV;462;19/05/2023 00:00;;;19/05/2023 00:00;2023;V01;210;0;BRE25;COD. DB7DAB4 SATELLITE 2� STADIO;Nr;2; 210,00 ? ;0;0;0;0;0;0;210; 420,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;0;;20;Microingranaggi Srl;MIIN;OP;2022000030770090;386;Default;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;0;Default;OIC / 2023 / 122 / 20;E2300503;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;05;BCIV;BCIV;442;15/05/2023 00:00;;;15/05/2023 00:00;2023;V01;210;0;BRE28;COD. DB7DAE8 CORONA;Nr;2; 1.750,00 ? ;0;0;0;0;0;0;1750; 3.500,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;0;;30;Microingranaggi Srl;MIIN;PFLO;988;386;Default;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;0;Default;OIC / 2023 / 122 / 30;E2300504;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;05;BCIV;BCIV;442;15/05/2023 00:00;;;15/05/2023 00:00;2023;V01;210;0;BRE26;COD. DB7DAB7 SOLARE 2� STADIO;Nr;1; 1.270,00 ? ;0;0;0;0;0;0;1270; 1.270,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;0;;20;Microingranaggi Srl;MIIN;OP;2022000030780090;386;Default;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;0;Default;OIC / 2023 / 121 / 10;E2300500;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;05;BCIV;BCIV;442;15/05/2023 00:00;;;15/05/2023 00:00;2023;V01;210;0;SPC030080M610T;SPINA CILINDRICA �3x8 m6 - 58-62 HRC - DIN6325;Nr;500; 0,44 ? ;0;0;0;0;0;0;0,44; 220,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;0;;10;Microingranaggi Srl;MIIN;0;0;386;Default;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;0;Default;OIC / 2023 / 112 / 10;E2300456;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;05;BCIV;BCIV;462;19/05/2023 00:00;;;19/05/2023 00:00;2023;V01;210;0;BRE25;COD. DB7DAB4 SATELLITE 2� STADIO;Nr;13; 210,00 ? ;0;0;0;0;0;0;210; 2.730,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;0;;21;Microingranaggi Srl;MIIN;OP;2023000006320090;386;Default;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;0;Default;OIC / 2023 / 122 / 20;E2300503;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;05;BCIV;BCIV;462;19/05/2023 00:00;;;19/05/2023 00:00;2023;V01;210;0;BRE27;COD. DB7DAB8 PIGNONE MOTORE;Nr;3; 480,00 ? ;0;0;0;0;0;0;480; 1.440,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;0;;10;Microingranaggi Srl;MIIN;OP;2023000006330100;386;Default;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;0;Default;OIC / 2023 / 121 / 20;E2300501;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;06;BCIV;BCIV;571;21/06/2023 00:00;;;21/06/2023 00:00;2023;V01;296;0;BRE24;COD. DB7DAB3 SATELLITE 1� STADIO;Nr;11; 115,00 ? ;0;0;0;0;0;0;115; 1.265,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;FRA;PORTO FRANCO;10;Microingranaggi Srl;MIIN;OP;2019000005610090;386;TNT GLOBAL EXPRESS S.R.L.;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;014;TNT GLOBAL EXPRESS S.R.L.;OIC / 2023 / 122 / 10;E2300502;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;06;BCIV;BCIV;571;21/06/2023 00:00;;;21/06/2023 00:00;2023;V01;296;0;BRE24;COD. DB7DAB3 SATELLITE 1� STADIO;Nr;13; 115,00 ? ;0;0;0;0;0;0;115; 1.495,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;FRA;PORTO FRANCO;11;Microingranaggi Srl;MIIN;OP;2023000010120090;386;TNT GLOBAL EXPRESS S.R.L.;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;014;TNT GLOBAL EXPRESS S.R.L.;OIC / 2023 / 122 / 10;E2300502;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;07;BCIV;BCIV;604;04/07/2023 00:00;;;04/07/2023 00:00;2023;V01;315;0;BRE64;COD. DC318CA ALBERO DENTATO Z9 M0.5;Nr;50; 65,00 ? ;0;0;0;0;0;0;65; 3.250,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;FRA;PORTO FRANCO;10;Microingranaggi Srl;MIIN;OP;2023000009480100;386;TNT GLOBAL EXPRESS S.R.L.;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;014;TNT GLOBAL EXPRESS S.R.L.;OIC / 2023 / 163 / 10;E2300671;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;09;BCIV;BCIV;844;28/09/2023 00:00;;;28/09/2023 00:00;2023;V01;388;0;BRE40;COD. DB1G1NS CORONA 3� STADIO;Nr;12; 1.270,00 ? ;0;0;0;0;0;0;1270; 15.240,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;FRA;PORTO FRANCO;30;Microingranaggi Srl;MIIN;OP;2023000010720100;386;MARGUTTI C. AUTOTRASPORTI;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;029;MARGUTTI C. AUTOTRASPORTI;OIC / 2023 / 208 / 10;E2300874;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
2023;09;BCIV;BCIV;844;28/09/2023 00:00;;;28/09/2023 00:00;2023;V01;388;0;BRE39;COD. DB1G1NZ CORONA 1�e 2� STADIO;Nr;1; 1.090,00 ? ;0;0;0;0;0;0;1090; 1.090,00 ? ;;;;;;;AB65;BON. BAN. 90 GG FM;FRA;PORTO FRANCO;10;Microingranaggi Srl;MIIN;OP;2020000041560100;386;MARGUTTI C. AUTOTRASPORTI;BREMBO BU PROTOTIPI;VIALE EUROPA, 2;0;4;029;MARGUTTI C. AUTOTRASPORTI;OIC / 2023 / 207 / 10;E2300873;386;BREMBO S.P.A.;IT;LOM;GARAVAGLIA STEFANO
